Photolysis rate coefficients, s-1
   1 = O3 -> O2 + O(1D)                                  
   2 = O3 -> O2 + O(3P)                                  
   3 = CHOCHO -> 2 HO2 + 2 CO                            
   4 = CHOCHO -> H2 + 2 CO                               
   5 = CHOCHO -> CH2O + CO                               
   6 = c-C6H10O + hv -> 5-hexenal                        
   7 = c-C6H10O + hv -> cyclopentane + CO                
   8 = c-C6H10O + hv -> 1-pentene + CO                   
values at z =      0.500 km
Columns: sza, photo-reactions
 sza, deg.          1          2          3          4          5          6          7          8
   23.5000  3.513E-05  4.779E-04  1.443E-04  0.000E+00  2.668E-05  1.127E-05  3.171E-07  7.733E-07
   24.0000  3.483E-05  4.773E-04  1.440E-04  0.000E+00  2.656E-05  1.122E-05  3.141E-07  7.668E-07
   24.5000  3.452E-05  4.766E-04  1.436E-04  0.000E+00  2.645E-05  1.116E-05  3.110E-07  7.603E-07
   25.0000  3.420E-05  4.760E-04  1.433E-04  0.000E+00  2.633E-05  1.111E-05  3.078E-07  7.536E-07
   25.5000  3.388E-05  4.753E-04  1.429E-04  0.000E+00  2.621E-05  1.105E-05  3.046E-07  7.468E-07
   26.0000  3.356E-05  4.746E-04  1.425E-04  0.000E+00  2.608E-05  1.100E-05  3.013E-07  7.399E-07
   26.5000  3.323E-05  4.738E-04  1.421E-04  0.000E+00  2.595E-05  1.094E-05  2.980E-07  7.330E-07
   27.0000  3.290E-05  4.731E-04  1.417E-04  0.000E+00  2.582E-05  1.088E-05  2.947E-07  7.259E-07
   27.5000  3.256E-05  4.723E-04  1.413E-04  0.000E+00  2.569E-05  1.082E-05  2.913E-07  7.187E-07
   28.0000  3.222E-05  4.716E-04  1.409E-04  0.000E+00  2.556E-05  1.076E-05  2.879E-07  7.114E-07
   28.5000  3.187E-05  4.708E-04  1.404E-04  0.000E+00  2.542E-05  1.069E-05  2.844E-07  7.040E-07
   29.0000  3.152E-05  4.699E-04  1.400E-04  0.000E+00  2.528E-05  1.063E-05  2.809E-07  6.965E-07
   29.5000  3.117E-05  4.691E-04  1.395E-04  0.000E+00  2.514E-05  1.057E-05  2.774E-07  6.889E-07
   30.0000  3.081E-05  4.682E-04  1.391E-04  0.000E+00  2.499E-05  1.050E-05  2.738E-07  6.813E-07
   30.5000  3.044E-05  4.673E-04  1.386E-04  0.000E+00  2.484E-05  1.043E-05  2.702E-07  6.735E-07
   31.0000  3.008E-05  4.664E-04  1.381E-04  0.000E+00  2.469E-05  1.036E-05  2.665E-07  6.657E-07
   31.5000  2.971E-05  4.655E-04  1.376E-04  0.000E+00  2.454E-05  1.029E-05  2.628E-07  6.578E-07
   32.0000  2.933E-05  4.646E-04  1.371E-04  0.000E+00  2.438E-05  1.022E-05  2.591E-07  6.498E-07
   32.5000  2.896E-05  4.636E-04  1.366E-04  0.000E+00  2.422E-05  1.015E-05  2.553E-07  6.417E-07
   33.0000  2.858E-05  4.626E-04  1.360E-04  0.000E+00  2.406E-05  1.008E-05  2.516E-07  6.335E-07
   33.5000  2.820E-05  4.616E-04  1.355E-04  0.000E+00  2.390E-05  1.000E-05  2.477E-07  6.253E-07
   34.0000  2.781E-05  4.605E-04  1.350E-04  0.000E+00  2.373E-05  9.927E-06  2.439E-07  6.170E-07
   34.5000  2.739E-05  4.592E-04  1.343E-04  0.000E+00  2.353E-05  9.838E-06  2.399E-07  6.080E-07
   35.0000  2.698E-05  4.581E-04  1.337E-04  0.000E+00  2.336E-05  9.758E-06  2.357E-07  5.990E-07
   35.5000  2.660E-05  4.570E-04  1.331E-04  0.000E+00  2.318E-05  9.680E-06  2.320E-07  5.908E-07
   36.0000  2.619E-05  4.559E-04  1.325E-04  0.000E+00  2.301E-05  9.598E-06  2.279E-07  5.820E-07
   36.5000  2.578E-05  4.547E-04  1.319E-04  0.000E+00  2.282E-05  9.517E-06  2.238E-07  5.732E-07
   37.0000  2.536E-05  4.535E-04  1.313E-04  0.000E+00  2.264E-05  9.434E-06  2.196E-07  5.642E-07
   37.5000  2.496E-05  4.523E-04  1.307E-04  0.000E+00  2.246E-05  9.351E-06  2.157E-07  5.555E-07
   38.0000  2.457E-05  4.511E-04  1.300E-04  0.000E+00  2.227E-05  9.267E-06  2.119E-07  5.471E-07
   38.5000  2.417E-05  4.498E-04  1.294E-04  0.000E+00  2.208E-05  9.182E-06  2.080E-07  5.384E-07
   39.0000  2.377E-05  4.485E-04  1.287E-04  0.000E+00  2.189E-05  9.095E-06  2.040E-07  5.296E-07
   39.5000  2.336E-05  4.472E-04  1.280E-04  0.000E+00  2.170E-05  9.007E-06  2.000E-07  5.208E-07
   40.0000  2.295E-05  4.458E-04  1.273E-04  0.000E+00  2.150E-05  8.918E-06  1.960E-07  5.119E-07
   40.5000  2.254E-05  4.444E-04  1.266E-04  0.000E+00  2.130E-05  8.828E-06  1.920E-07  5.030E-07
   41.0000  2.213E-05  4.430E-04  1.259E-04  0.000E+00  2.109E-05  8.737E-06  1.880E-07  4.941E-07
   41.5000  2.172E-05  4.416E-04  1.251E-04  0.000E+00  2.089E-05  8.645E-06  1.840E-07  4.851E-07
   42.0000  2.134E-05  4.402E-04  1.245E-04  0.000E+00  2.070E-05  8.561E-06  1.802E-07  4.768E-07
   42.5000  2.093E-05  4.387E-04  1.237E-04  0.000E+00  2.049E-05  8.466E-06  1.762E-07  4.677E-07
   43.0000  2.051E-05  4.371E-04  1.229E-04  0.000E+00  2.028E-05  8.370E-06  1.722E-07  4.586E-07
   43.5000  2.010E-05  4.356E-04  1.221E-04  0.000E+00  2.006E-05  8.273E-06  1.682E-07  4.496E-07
   44.0000  1.968E-05  4.340E-04  1.213E-04  0.000E+00  1.984E-05  8.175E-06  1.641E-07  4.405E-07
   44.5000  1.927E-05  4.323E-04  1.205E-04  0.000E+00  1.962E-05  8.076E-06  1.601E-07  4.313E-07
   45.0000  1.886E-05  4.306E-04  1.197E-04  0.000E+00  1.939E-05  7.976E-06  1.561E-07  4.222E-07
   45.5000  1.844E-05  4.289E-04  1.188E-04  0.000E+00  1.917E-05  7.875E-06  1.522E-07  4.131E-07
   46.0000  1.803E-05  4.272E-04  1.179E-04  0.000E+00  1.894E-05  7.773E-06  1.482E-07  4.040E-07
   46.5000  1.762E-05  4.254E-04  1.170E-04  0.000E+00  1.871E-05  7.670E-06  1.442E-07  3.949E-07
   47.0000  1.721E-05  4.235E-04  1.161E-04  0.000E+00  1.847E-05  7.566E-06  1.403E-07  3.859E-07
   47.5000  1.680E-05  4.217E-04  1.152E-04  0.000E+00  1.824E-05  7.461E-06  1.364E-07  3.768E-07
   48.0000  1.639E-05  4.198E-04  1.143E-04  0.000E+00  1.800E-05  7.355E-06  1.325E-07  3.678E-07
   48.5000  1.599E-05  4.178E-04  1.134E-04  0.000E+00  1.776E-05  7.248E-06  1.287E-07  3.588E-07
   49.0000  1.558E-05  4.159E-04  1.124E-04  0.000E+00  1.751E-05  7.141E-06  1.249E-07  3.498E-07
